size_bytes,1_vcpu,2_vcpu,4_vcpu,melhor_vcpu,melhor_latencia_us,pior_latencia_us,razao_pior_melhor
1,6904.9,6249.25,37585.79,2 vCPU,6249.25,37585.79,6.014448133776053
2,25612.72,7843.52,39686.44,2 vCPU,7843.52,39686.44,5.059774183019869
4,11501.96,8113.31,38248.34,2 vCPU,8113.31,38248.34,4.714270747697301
8,25714.29,16425.1,29997.13,2 vCPU,16425.1,29997.13,1.8262981656123862
16,31694.34,9626.67,43667.0,2 vCPU,9626.67,43667.0,4.5360441357187895
32,26724.24,12458.0,38779.28,2 vCPU,12458.0,38779.28,3.1128014127468293
64,14085.84,14143.71,35131.44,1 vCPU,14085.84,35131.44,2.4940961987357517
128,31342.83,9490.35,40924.55,2 vCPU,9490.35,40924.55,4.312227683910499
256,26686.73,11507.83,34569.35,2 vCPU,11507.83,34569.35,3.0039851127449744
512,13226.5,11355.54,44368.03,2 vCPU,11355.54,44368.03,3.907170420781398
1024,21990.33,16805.91,42834.39,2 vCPU,16805.91,42834.39,2.548769450746791
2048,24899.21,11543.29,34294.59,2 vCPU,11543.29,34294.59,2.9709545545507385
4096,48298.49,27965.52,61692.38,2 vCPU,27965.52,61692.38,2.2060158366445535
8192,38064.7,20949.65,61495.26,2 vCPU,20949.65,61495.26,2.9353836460274993
16384,35848.55,31512.74,68768.66,2 vCPU,31512.74,68768.66,2.182249464819625
32768,72727.61,36691.46,86098.65,2 vCPU,36691.46,86098.65,2.3465582999422754
65536,76684.61,44535.29,178528.9,2 vCPU,44535.29,178528.9,4.008706353994776
131072,113815.85,58237.9,240766.75,2 vCPU,58237.9,240766.75,4.134193540632475
262144,75564.72,33893.82,695067.04,2 vCPU,33893.82,695067.04,20.50719098643942
524288,68555.86,49181.67,350942.56,2 vCPU,49181.67,350942.56,7.1356373217908216
1048576,110996.56,111362.54,1239064.36,1 vCPU,110996.56,1239064.36,11.163087937139675
