Tamanho_Bytes,NP_4_us,NP_8_us,NP_16_us
1,2196.63,6067.52,28662.86
2,3056.50,4959.00,32551.75
4,2823.94,4792.29,9929.12
8,3397.21,5058.17,23308.16
16,1486.77,4992.33,14322.62
32,1683.49,7725.33,18770.28
64,3177.50,8247.74,54023.08
128,2785.18,12207.94,17696.36
256,2000.66,5852.32,22077.26
512,3037.88,5392.99,13289.40
1024,1557.26,4885.78,18971.33
2048,1645.66,5356.27,34540.97
4096,2032.53,8993.81,6896.75
8192,2643.76,7901.02,13311.44
16384,2195.60,7033.89,17101.27
32768,4160.10,12618.38,39014.51
65536,8550.70,49846.45,82868.48
131072,9940.13,73799.71,80363.76
262144,10959.84,85289.63,127813.59
524288,12504.65,65947.79,222641.11
1048576,52578.10,81228.68,644376.94
