vcpu,rodada,size_bytes,avg_us,min_us,max_us,iterations,arquivo
1,1,1,5795.79,1311.13,9498.21,100,/home/ubuntu/bcast_analysis/grupo5_broadcast_vcpu_definitivo_1mib/vcpu1/bcast_16proc_1vcpu_100iter_1mib_rodada1.txt
1,1,2,17334.04,1345.01,29087.88,100,/home/ubuntu/bcast_analysis/grupo5_broadcast_vcpu_definitivo_1mib/vcpu1/bcast_16proc_1vcpu_100iter_1mib_rodada1.txt
1,1,4,11501.96,1199.04,21098.36,100,/home/ubuntu/bcast_analysis/grupo5_broadcast_vcpu_definitivo_1mib/vcpu1/bcast_16proc_1vcpu_100iter_1mib_rodada1.txt
1,1,8,9396.82,3063.93,14840.62,100,/home/ubuntu/bcast_analysis/grupo5_broadcast_vcpu_definitivo_1mib/vcpu1/bcast_16proc_1vcpu_100iter_1mib_rodada1.txt
1,1,16,31694.34,3220.73,52120.1,100,/home/ubuntu/bcast_analysis/grupo5_broadcast_vcpu_definitivo_1mib/vcpu1/bcast_16proc_1vcpu_100iter_1mib_rodada1.txt
1,1,32,29264.92,1465.24,49382.08,100,/home/ubuntu/bcast_analysis/grupo5_broadcast_vcpu_definitivo_1mib/vcpu1/bcast_16proc_1vcpu_100iter_1mib_rodada1.txt
1,1,64,14085.84,1115.24,25587.87,100,/home/ubuntu/bcast_analysis/grupo5_broadcast_vcpu_definitivo_1mib/vcpu1/bcast_16proc_1vcpu_100iter_1mib_rodada1.txt
1,1,128,25011.87,1294.93,40472.33,100,/home/ubuntu/bcast_analysis/grupo5_broadcast_vcpu_definitivo_1mib/vcpu1/bcast_16proc_1vcpu_100iter_1mib_rodada1.txt
1,1,256,19625.18,1325.05,34661.46,100,/home/ubuntu/bcast_analysis/grupo5_broadcast_vcpu_definitivo_1mib/vcpu1/bcast_16proc_1vcpu_100iter_1mib_rodada1.txt
1,1,512,13226.5,6255.75,24846.7,100,/home/ubuntu/bcast_analysis/grupo5_broadcast_vcpu_definitivo_1mib/vcpu1/bcast_16proc_1vcpu_100iter_1mib_rodada1.txt
1,1,1024,87161.28,45920.02,151740.02,100,/home/ubuntu/bcast_analysis/grupo5_broadcast_vcpu_definitivo_1mib/vcpu1/bcast_16proc_1vcpu_100iter_1mib_rodada1.txt
1,1,2048,8079.24,3629.53,15217.03,100,/home/ubuntu/bcast_analysis/grupo5_broadcast_vcpu_definitivo_1mib/vcpu1/bcast_16proc_1vcpu_100iter_1mib_rodada1.txt
1,1,4096,48298.49,10356.16,96056.83,100,/home/ubuntu/bcast_analysis/grupo5_broadcast_vcpu_definitivo_1mib/vcpu1/bcast_16proc_1vcpu_100iter_1mib_rodada1.txt
1,1,8192,64084.14,19757.19,114630.44,100,/home/ubuntu/bcast_analysis/grupo5_broadcast_vcpu_definitivo_1mib/vcpu1/bcast_16proc_1vcpu_100iter_1mib_rodada1.txt
1,1,16384,69549.61,23539.0,141940.29,100,/home/ubuntu/bcast_analysis/grupo5_broadcast_vcpu_definitivo_1mib/vcpu1/bcast_16proc_1vcpu_100iter_1mib_rodada1.txt
