vcpu,size_bytes,media_rodadas_us,mediana_rodadas_us,minimo_rodadas_us,maximo_rodadas_us,media_min_us,media_max_us,n_rodadas,amplitude_rodadas_us,size_kib
1,1,18342.05,6904.9,5795.79,42325.46,3454.436666666667,29507.0,3,36529.67,0.0009765625
1,2,26507.36333333333,25612.72,17334.04,36575.33,1488.53,45957.30333333334,3,19241.29,0.001953125
1,4,16529.55,11501.96,3047.24,35039.45,2409.3733333333334,26614.039999999997,3,31992.21,0.00390625
1,8,27602.006666666668,25714.29,9396.82,47694.91,1731.1833333333332,44272.63999999999,3,38298.090000000004,0.0078125
1,16,31911.74666666667,31694.34,7038.03,57002.87,1988.8733333333332,52667.456666666665,3,49964.840000000004,0.015625
1,32,24374.88666666667,26724.24,17135.5,29264.92,1212.3999999999999,41153.15666666667,3,12129.419999999998,0.03125
1,64,22262.78,14085.84,5665.18,47037.32,1325.08,36326.06,3,41372.14,0.0625
1,128,31542.440000000002,31342.83,25011.87,38272.62,1301.3766666666668,49406.56,3,13260.750000000004,0.125
1,256,29201.153333333335,26686.73,19625.18,41291.55,2238.9733333333334,46988.926666666666,3,21666.370000000003,0.25
1,512,19831.23,13226.5,12433.22,33833.97,11150.289999999999,33943.59666666667,3,21400.75,0.5
1,1024,41536.60666666667,21990.33,15458.21,87161.28,20561.243333333332,72390.13333333333,3,71703.07,1.0
1,2048,24517.839999999997,24899.21,8079.24,40575.07,8890.713333333333,40035.73,3,32495.83,2.0
1,4096,59474.94333333333,48298.49,39652.27,90474.07,18842.483333333334,105606.68333333335,3,50821.80000000001,4.0
1,8192,39144.94666666666,38064.7,15286.0,64084.14,11710.433333333334,72830.84666666666,3,48798.14,8.0
1,16384,41138.916666666664,35848.55,18018.59,69549.61,12560.226666666667,82800.62666666666,3,51531.020000000004,16.0
1,32768,73163.36333333333,72727.61,53771.92,92990.56,19692.64,129924.10666666667,3,39218.64,32.0
1,65536,80487.56,76684.61,52353.01,112425.06,21215.86,120428.71999999999,3,60072.049999999996,64.0
1,131072,90604.45,113815.85,34705.39,123292.11,31813.086666666666,140297.05666666667,3,88586.72,128.0
1,262144,74153.98333333334,75564.72,57167.74,89729.49,29640.323333333334,110384.75333333334,3,32561.750000000007,256.0
1,524288,74525.98333333334,68555.86,63069.13,91952.96,29821.256666666664,115193.00666666667,3,28883.83000000001,512.0
1,1048576,137265.92333333334,110996.56,103917.84,196883.37,127432.94666666667,146800.08333333334,3,92965.53,1024.0
2,1,17040.186666666665,6249.25,4849.28,40022.03,825.3533333333334,26802.39,3,35172.75,0.0009765625
2,2,8107.526666666668,7843.52,3368.39,13110.67,294.9533333333333,14736.766666666668,3,9742.28,0.001953125
2,4,13157.88,8113.31,5048.95,26311.38,1812.14,20299.45666666667,3,21262.43,0.00390625
2,8,16224.886666666665,16425.1,10632.55,21617.01,1151.9066666666668,28738.313333333335,3,10984.46,0.0078125
2,16,12699.663333333332,9626.67,7685.47,20786.85,1460.4499999999998,20195.183333333334,3,13101.379999999997,0.015625
2,32,11305.006666666666,12458.0,6887.45,14569.57,303.31,18482.393333333333,3,7682.12,0.03125
2,64,16280.073333333334,14143.71,7595.37,27101.14,1564.63,28250.523333333334,3,19505.77,0.0625
2,128,16710.863333333335,9490.35,9406.25,31235.99,3091.466666666667,25846.50333333333,3,21829.74,0.125
2,256,12671.883333333333,11507.83,7000.0,19507.82,356.17,22383.10666666667,3,12507.82,0.25
2,512,570050.1966666667,11355.54,10501.06,1688293.99,8309.166666666666,1007484.4733333333,3,1677792.93,0.5
2,1024,19343.086666666666,16805.91,7729.74,33493.61,6728.076666666667,35336.12666666667,3,25763.870000000003,1.0
2,2048,18667.143333333333,11543.29,8452.42,36005.72,10560.06,26239.783333333336,3,27553.300000000003,2.0
2,4096,31107.390000000003,27965.52,26029.99,39326.66,12627.14,58711.083333333336,3,13296.670000000002,4.0
2,8192,28900.896666666667,20949.65,11407.78,54345.26,9584.74,50045.02333333334,3,42937.48,8.0
2,16384,33484.60666666667,31512.74,20113.59,48827.49,11761.67,62543.60666666667,3,28713.899999999998,16.0
2,32768,37887.346666666665,36691.46,24226.88,52743.7,14351.323333333334,67348.81999999999,3,28516.819999999996,32.0
2,65536,46407.73,44535.29,40808.76,53879.14,21555.303333333333,70760.34333333332,3,13070.379999999997,64.0
2,131072,53037.49,58237.9,42059.84,58814.73,18901.283333333333,95997.26666666666,3,16754.890000000007,128.0
2,262144,34098.31,33893.82,30897.53,37503.58,11972.866666666667,52185.67333333333,3,6606.050000000003,256.0
